,nombre_actividad,lugar,categoria,puntuacion,imagen,precio
50,Descubre el mundo del vermut: elaboración y cata en Las Vermudas,Las Vermudas,"Vermuts, aperitivos y destilados",9.8,https://www.atrapalo.com/common/photo/event/4/8/8/5972/1404287/vertic_372_270.jpg,26€
51,Regala una experiencia única: cata de vino o vermut en Barcelona,A concretar por teléfono - Barcelona                                                         (Barcelona),Catas y maridajes de vinos,9.8,https://www.atrapalo.com/common/photo/event/4/8/4/0405/1082506/vertic_372_270.jpg,29€
52,Descubre el lujo: Spa L´Occitane con masaje opcional,Spa by LOccitane  en Hotel Miramar 5*,Spas con masaje,9.0,Sin imagen,44€
53,Disfruta de la cocina italiana en Luigi Lluria,Luigi Restaurante,Degustaciones y experiencias gastronómicas,10,https://www.atrapalo.com/common/photo/event/4/8/9/7983/1498107/vertic_372_270.jpg,25€
54,Descubre los secretos de la cocina italiana en este taller,Taller24,Cursos de cocina,10,https://www.atrapalo.com/common/photo/event/4/8/7/1192/1296419/vertic_372_270.jpg,53€
55,Maridaje de vinos: regala una experiencia única en Espai Penedès,Espai Penedès,Catas y maridajes de vinos,9.8,Sin imagen,24€
56,Creepy Halloween Family - El circo más terroríficamente divertido,Poble Espanyol,Actividades familiares,Sin puntuación,Sin imagen,12€
57,Big Fun Museum: 8 museos temáticos y Museo de las Ilusiones opcional,Big Fun Museum,Actividades familiares,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/2/5776/1602839/vertic_372_270.jpg,22€
58,Bono regalo: taller de cocina con degustación y bebida en Chef Caprabo,Dentro del Chef Caprabo de la Illa,Cursos de cocina,9.3,https://www.atrapalo.com/common/photo/event/3/0/2/048/1570431/vertic_372_270.jpg,"22,50€"
59,Free History & Legends Comedy Tour: Barrio Gótico,Plaça de Garriga i Bachs                                                         (Barcelona),Free tours,9.0,https://www.atrapalo.com/common/photo/event/4/8/9/2718/1455727/vertic_372_270.jpg,Pago libre
60,¡Descubre la magia del Museo de las Ilusiones en Barcelona!,Museo de las Ilusiones,Actividades familiares,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/6706/1572483/vertic_372_270.jpg,13€
61,¡Cita épica! Tiro con hacha e hidromiel para parejas,The Axe Club,Paintball y Laser tag,10,https://www.atrapalo.com/common/photo/event/4/8/9/8707/1505052/vertic_372_270.jpg,21€
62,Clase de cerámica,Feliz Studio,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/6785/1556750/vertic_372_270.jpg,27€
63,Artemis Gymkhanas Barcelona - Crimen en Sant Pere,Plaça de Jaume Sabartés,Room Escape,9.1,https://www.atrapalo.com/common/photo/event/4/8/3/6933/1061503/vertic_372_270.jpg,19€
64,"Cócteles del Mundo: aprende, degusta y sorprende con tus creaciones",Cocktail Shop Barcelona,Cursos de cata y coctelería,9.1,https://www.atrapalo.com/common/photo/event/9/2/0/73/1547122/vertic_372_270.jpg,26€
65,Masajes relajantes y naturales para liberarte del estrés,Estética y terapias naturales Imma,Masajes relajantes,9.6,https://www.atrapalo.com/common/photo/event/4/8/3/6097/1515204/vertic_372_270.jpg,39€
66,Exclusivos masajes en pareja con tecnología avanzada y spa,Avantwell,Masajes en pareja,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/3930/1391339/vertic_372_270.jpg,80€
67,Fiesta de Halloween con historias mágicas cocina y decoración,Dentro del Chef Caprabo de la Illa,Fiestas y cumpleaños para niños,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/6/7046/1269330/vertic_372_270.jpg,18€
68,Experiencia única: spa y menú italiano en Soho House,,Spas con gastronomía,9.4,https://www.atrapalo.com/common/photo/event/4/8/8/2984/1397879/vertic_372_270.jpg,75€
69,Sopar dels sentits: cena y visita guiada en Real Academia de Medicina,Cowshed Spa  (Soho House Barcelona),Degustaciones y experiencias gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/7/8/8067/1570419/vertic_372_270.jpg,"71,55€"
70,Taller de cócteles afrodisíacos: crea cócteles irresistibles,Restaurante Sopar dels Sentits                                                         (Barcelona),Cursos de cata y coctelería,10,https://www.atrapalo.com/common/photo/event/4/8/8/5165/1398552/vertic_372_270.jpg,34€
71,Cena esotérica en Alquimia,Las Vermudas,Degustaciones y experiencias gastronómicas,Sin puntuación,Sin imagen,29€
72,Momento de relajación en pareja: disfruta de un masaje juntos,,Masajes en pareja,10,https://www.atrapalo.com/common/photo/event/4/8/8/7462/1509882/vertic_372_270.jpg,70€
73,Cerámica y Vino,Alquimia Barcelona,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/8140/1564392/vertic_372_270.jpg,33€
74,Clases de cerámica y vino en Barcelona,Amicita By Martin Gaston,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/1774/1585155/vertic_372_270.jpg,33€
75,La Máster Tast de Moritz,Consell 81,Catas y elaboración de cerveza,9.0,https://www.atrapalo.com/common/photo/event/4/9/0/7058/1558184/vertic_372_270.jpg,20€
76,Taller artístico en Jardinet del Born,Recrea taller de cerámica,Cursos de Manualidades y DIY,Sin puntuación,Sin imagen,20€
77,Graba tu canción en un estudio de sonido,Fábrica Moritz                                                         (Barcelona),Cursos de Música e interpretación,Sin puntuación,https://www.atrapalo.com/common/photo/event/2/8/5/574/265346/vertic_372_270.jpg,80€
78,IKONO Barcelona: Experiencia Inmersiva,Jardinet del Born,Rutas teatralizadas e interactivas,Sin puntuación,Sin imagen,18€
79,¡Pack de cursos de fotografía! Diviértete capturando momentos únicos,,Cursos de fotografía,9.3,https://www.atrapalo.com/common/photo/event/4/8/2/3352/980648/vertic_372_270.jpg,45€
83,Cerámica para principiantes,Feliz Studio,Cursos de Manualidades y DIY,8.7,Sin imagen,31€
84,"Planazo para dos: Tapas, pizza y bebidas en NH Collection Podium",Hotel NH Pódium,Degustaciones y experiencias gastronómicas,9.5,https://www.atrapalo.com/common/photo/event/4/8/8/4134/1394886/vertic_372_270.jpg,22€
85,Cata de queso con maridaje de vinos,Jardinet de Gràcia                                                         (Barcelona),Catas y maridajes de vinos,Sin puntuación,Sin imagen,25€
86,Descubre la Basílica Santa María del Mar y sus terrazas en el Born,Basílica de Santa María del Mar                                                         (Barcelona),Tours y visitas guiadas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3143/1593028/vertic_372_270.jpg,15€
87,"Taller de cocina internacional: pasta fresca, mejicano y sushi",Muérdete,Cursos de cocina,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/1521/1541675/vertic_372_270.jpg,"29,90€"
88,Experiencias sensoriales exclusivas: relájate y desconecta,Nancy Center Spa Thailandés,Masajes relajantes,8.7,https://www.atrapalo.com/common/photo/event/4/8/1/5301/1076833/vertic_372_270.jpg,40€
89,Fotografía personalizada: 2 o 3 horas solo para ti,Cafetería del parque de La Sedeta                                                         (Barcelona),Cursos de fotografía,9.2,Sin imagen,55€
90,Explora la granja y descubre la belleza del Espacio Botánico,Les Tanques,Actividades con animales,10,https://www.atrapalo.com/common/photo/event/4/8/7/7837/1343692/vertic_372_270.jpg,11€
91,Detén el tiempo: experiencia spa de 120 minutos en Despacio Spa,Despacio Spa Centre (Hotel H10 Marina Barcelona),Circuitos de agua,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/3/5285/1051975/vertic_372_270.jpg,"24,90€"
92,Masaje relajante combinado con shiatsu facial o reflexología podal,Tu Espacio y Bienestar,Masajes relajantes,9.2,https://www.atrapalo.com/common/photo/event/4/8/1/7819/514276/vertic_372_270.jpg,19€
93,Masaje con aromaterapia: tu momento de relajación y bienestar,Ananda Spa,Aromaterapia,8.9,https://www.atrapalo.com/common/photo/event/4/8/2/2850/1033373/vertic_372_270.jpg,34€
94,Brunch buffet libre en B-Lounge: delicias y vistas espectaculares,B-Lounge,Degustaciones y experiencias gastronómicas,8.9,Sin imagen,27€
95,Alivio total: descontractura tu cuerpo con estos masajes exclusivos,La Crème,Masajes terapéuticos y fisioterapia,9.1,https://www.atrapalo.com/common/photo/event/4/8/0/7072/1527546/vertic_372_270.jpg,"34,99€"
96,Cumpleaños Tiro con hacha e hidromiel - The Axe Club,The Axe Club,Paintball y Laser tag,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/8705/1505040/vertic_372_270.jpg,21€
97,Combo Copa América: navegación & Museo Oficial,BCNaval Tours Port Olímpic de Barcelona,Excursiones y paseos en barco,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/2029/1586792/vertic_372_270.jpg,28€
98,Experiencia de gaming en Realidad Virtual,Resetxr,Realidad Virtual,9.7,Sin imagen,"19,90€"
99,El secreto para piel perfecta: exfoliante corporal y masaje hidratante,Ananda Spa,Peelings corporales,9.1,https://www.atrapalo.com/common/photo/event/4/8/1/2047/478324/vertic_372_270.jpg,44€
100,Conviértete en detective por un día,Tot Jugar,Room Escape,8.9,https://www.atrapalo.com/common/photo/event/4/7/8/7380/333835/vertic_372_270.jpg,10€
101,Vermut con vistas panorámicas en Sunset Lounge H10 Montcada,H10 Montcada -Boutique Hotel,"Vermuts, aperitivos y destilados",8.7,https://www.atrapalo.com/common/photo/event/4/8/5/4150/1173579/vertic_372_270.jpg,"13,50€"
102,"Masaje mindfulness: relajación, alivio muscular y mejor descanso",Koan Beauty Lab,Masajes relajantes,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/5957/1404216/vertic_372_270.jpg,39€
103,Despierta tu bienestar: elimina tensiones con un masaje relajante,Pakua Academy,Masajes relajantes,9.3,https://www.atrapalo.com/common/photo/event/3/0/1/79/1113015/vertic_372_270.jpg,39€
104,"Bienestar físico a tu alcance: fisioterapia, masajes y ondas de choque",Centre de Fisioterapia Adara,Masajes terapéuticos y fisioterapia,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/9803/1512507/vertic_372_270.jpg,25€
105,¡Momento de bienestar con facial a escoger!,Estética y terapias naturales Imma,Tratamiento y limpieza facial,9.6,https://www.atrapalo.com/common/photo/event/4/8/4/8871/1132331/vertic_372_270.jpg,36€
106,"Masaje Kobido, efecto lifting facial en Barcelona",Mimosi Beauty & Health Concept,Lifting facial,9.5,https://www.atrapalo.com/common/photo/event/4/9/0/4570/1542677/vertic_372_270.jpg,30€
107,"Mirada perfecta: lifting, tinte y tratamiento para pestañas y cejas",Bonjour Madame,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/6142/1333235/vertic_372_270.jpg,30€
108,Masaje relajante solo o con Haloterapia en Cueva de Sal,Salsana,Masajes relajantes,9.7,https://www.atrapalo.com/common/photo/event/4/9/0/3408/1577321/vertic_372_270.jpg,29€
109,Masaje californiano: relajación y equilibrio en cuerpo y mente,Relaxa't,Masajes relajantes,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/7/8/7666/335397/vertic_372_270.jpg,29€
110,"Gòtic, secretos y leyendas",Cultruta,Tours y rutas culturales,9.2,https://www.atrapalo.com/common/photo/event/4/8/4/7052/1180000/vertic_372_270.jpg,15€
111,Teatro y cócteles submarinos: una experiencia única en el Verne,Verne Barcelona,Excursiones y paseos en barco,9.4,Sin imagen,15€
112,CHOCOMASTER KIDS BCN: taller y cata de chocolates para niños y padres,Taller de Chocolate BCN,Campamentos y talleres infantiles,9.8,https://www.atrapalo.com/common/photo/event/4/8/2/8394/1069725/vertic_372_270.jpg,35€
113,"Yoga, arte y vino: placer divino",Colet Arte                                                         (Barcelona),Yoga y pilates,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/4783/1472150/vertic_372_270.jpg,"39,90€"
114,Pinta tu pieza de cerámica en el barrio de Gracia,La Pintorámica,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/4457/1600622/vertic_372_270.jpg,15€
115,Yoga en el Jardín Secreto del Hotel Mandarin Oriental 5*,"Hotel Mandarín Oriental, Barcelona 5*GL",Yoga y pilates,9.2,Sin imagen,25€
116,Visita guiada con degustación de turrones Vicens y chocolates Jolonch,Museu del Torró i la Xocolata Torrons Vicens,Catas de chocolate,10,https://www.atrapalo.com/common/photo/event/4/9/0/9004/1569333/vertic_372_270.jpg,9€
117,Masaje Californiano con masaje Thai: alivia el estrés y revitalízate,Schuveiser Wellness & Massatge,Masajes tailandeses y orientales,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/2407/1588939/vertic_372_270.jpg,28€
118,Curso de composición con móvil o cámara: entrena tu mirada fotográfica,Delante del Casino Barcelona                                                         (Barcelona),Cursos de fotografía,9.4,https://www.atrapalo.com/common/photo/event/4/8/2/5682/996935/vertic_372_270.jpg,25€
119,Renueva tu carnet de conducir en un centro homologado por la DGT,Certimedic,ITV y carnet de conducir,9.7,https://www.atrapalo.com/common/photo/event/4/8/7/7246/1340679/vertic_372_270.jpg,25€
120,Vermut Mediterráneo con vistas al mar: experiencia exclusiva,Hotel H10 Port Vell,"Vermuts, aperitivos y destilados",9.1,https://www.atrapalo.com/common/photo/event/4/8/5/4173/1173694/vertic_372_270.jpg,"12,60€"
121,"Cata de vinos en Jardinet d'Aribau, un restaurante de ensueño",Jardinet d'Aribau,Catas y maridajes de vinos,Sin puntuación,Sin imagen,20€
122,Lifting y tinte de pestañas,Claudia reis Estilistas - Muntaner,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/5868/1586308/vertic_372_270.jpg,20€
123,Viaje astronómico nocturno: observa las estrellas en Observatori Fabra,Observatori Fabra                                                         (Barcelona),Rutas nocturnas y misteriosas,Sin puntuación,https://www.atrapalo.com/common/photo/event/2/8/6/304/1575117/vertic_372_270.jpg,"16,20€"
124,Crucero al atardecer con música en directo de jazz y blues en Barcelona,Barcelona                                                         (Barcelona),Excursiones y paseos en barco,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/7700/1342825/vertic_372_270.jpg,"17,40€"
125,Crea tus propias baldosas en Barcelona,Barcelona                                                         (Barcelona),Cursos de Manualidades y DIY,9.7,https://www.atrapalo.com/common/photo/event/4/8/7/9682/1360271/vertic_372_270.jpg,"17,40€"
126,Sonrisa limpia y bonita: limpieza bucal con pulido y revisión,Muro Clínica Dental,Cuidado dental y bucal,10,https://www.atrapalo.com/common/photo/event/4/8/8/7975/1418230/vertic_372_270.jpg,"9,99€"
127,Visita guiada a la Real Academia de Ciencias y Artes,Real Academia de Ciencias y Artes de Barcelona,Tours y visitas guiadas,8.7,Sin imagen,10€
128,Descubre tu talento en la mejor clase de teatro,Associació Cultural Comediarte,Cursos de Música e interpretación,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/8075/1498940/vertic_372_270.jpg,5€
129,"360º Barcelona E-Bike Tour, Teleférico de Montjuic y Crucero en Barco",Barcelona                                                         (Barcelona),Tours y rutas en bicicleta,10,https://www.atrapalo.com/common/photo/event/4/8/6/4896/1254038/vertic_372_270.jpg,"54,90€"
130,Adiós a la grasa localizada con Lipobodylaser y Presoterapia,Jove Galatea,Adelgazamiento,9.7,https://www.atrapalo.com/common/photo/event/7/5/1/75/1586222/vertic_372_270.jpg,90€
131,Adiós a la grasa localizada: láser lipolítico y presoterapia,Jove Galatea,Adelgazamiento,10,https://www.atrapalo.com/common/photo/event/6/0/6/94/1586221/vertic_372_270.jpg,"39,95€"
132,Adiós a la grasa y a la piel flácida: Hifu Corporal,Benestar Balmes,Adelgazamiento,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/7748/1510390/vertic_372_270.jpg,220€
133,Alisado con tratamiento de Ácido Hialurónico,Claudia reis Estilistas - Muntaner,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/1641/1585906/vertic_372_270.jpg,99€
134,Alisado vegano con ácido hialurónico y colágeno para cabello perfecto,SportsCuts Barcelona,Peluquería y maquillaje,9.9,https://www.atrapalo.com/common/photo/event/4/8/4/3129/1099896/vertic_372_270.jpg,89€
135,"Alquila una sala de cine, ¡tu evento será de película!",Video Instan,Fiestas y cumpleaños para niños,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/4/2823/1098036/vertic_372_270.jpg,72€
136,Alquiler o Tour en lancha motora de lujo - Brig Eagle 6,Escola Nàutica El Pirata,"Pesca, náutica y navegación",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/4287/1468227/vertic_372_270.jpg,120€
137,Amanecer en Paddle Surf,Anywhere Watersport,"Paddle Surf, Surf y Windsurf",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/6981/1557718/vertic_372_270.jpg,25€
138,Aprende a degustar vinos en casa: curso con catas personalizadas,A domicilio (Barcelona)                                                         (Barcelona),Catas y maridajes de vinos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/1932/1449652/vertic_372_270.jpg,36€
139,Aprende a hacer Windsurf en Barcelona,Anywhere Watersport,"Paddle Surf, Surf y Windsurf",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/8186/1564601/vertic_372_270.jpg,50€
140,Arcanos y misterios de la Ciutadella,Debajo del Arco de Triunfo lado Llobregat                                                         (Barcelona),Rutas nocturnas y misteriosas,10,https://www.atrapalo.com/common/photo/event/4/8/8/9095/1426495/vertic_372_270.jpg,"12,60€"
141,"Arte, vino y texturas. Actividad multisensorial",El Trencaclosques,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/5742/1587691/vertic_372_270.jpg,34€
142,Artemis Gymkhanas Barcelona - Barcelona Romana,Plaça Vuit de Març                                                         (Barcelona),Room Escape,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/1502/1298498/vertic_372_270.jpg,19€
143,Atp Depilación de diodo zonas pequeñas,Centro Meye Barcelona,Depilación,Sin puntuación,Sin imagen,15€
